ID,Emotion,Situation,Answer 1,Answer 2,Answer 3,Answer 4
00032b20-59a7-427a-af26-12665b762af1,怒り,自覚症状はあったが、もっとはやく医師の治療を受けたり定期検査に行っていればもっと早く見つかっただろうと思う　,自分でも自覚症状はあったのですが、もっとはやく病院で診察や検査をしてもらえば良かったと怒りを感じています。,それは残念な事です。悔やんでも仕方ありません。この先の治療の事を考えましょう。,そうですね。一旦冷静になって落ち着いて今後の治療を考えたいと思います。,私にサポートできることがあればいつでも相談して下さい。
00033ce0-ea1c-4bf5-806a-a7e2efbb60c6,感謝,治療中に家族が支えてくれた　,治療の間は家族が大きな支えでした,家族にとても感謝しないといけないですね,はい、家族に感謝の気持ちを伝えます,家族の皆さんも喜びますよ
001532ec-e3c4-443a-9d03-febe6cf74834,楽観,腫瘍が見つかったが、再検査の結果良性だった　,腫瘍が見つかった時はもうダメかと思いましたが、検査の結果を聞いてホッとしました。,良かったですね。処置が上手くいってすぐに退院できると思います。,ありがとうございます。検査を受けて良かったです。,これからも何か気になることが合ったら怖がらずに検査を受けて下さいね。。
0029bf2f-ca34-4922-a697-4a19d8866171,願望,病気の早期発見のために、定期検診を受けようと思った,もういい年齢なので定期検診を受けて、病気の早期発見、予防ができればと思っています。,良い心がけですね。,いろいろなところにガタがきていますから無理は禁物です。,私も一緒に受けてみようかしら。
005df7d4-5ce2-447e-aecd-07e2e81bb844,称賛,「会社で偉くなると怒られることがない、だから医者の私があなたを怒るんだ」と生活習慣について説かれた　,生活習慣についてお医者さんに怒られました。会社では怒られる立場にないので、久しぶりの感覚です。,あなたの体のことを真剣に考えてくれていて、素晴らしいことだと思いますよ。,親身になってくれて、ありがたいです。,あなたの健康をいつも祈っています。
00687357-2d28-4362-bf5b-42f0329ababa,嫌悪,入院している際、見舞いに来た友人がギプスに人に見せられないような落書きをした　,これ、直せないので困っています。,度が過ぎているかもしれませんが、元気づけるためにしてくれたので悪気はないと思いますよ。,しかし、困るなあ。,早く治してｷﾞﾌﾟｽとりましょう。
0071947f-ab39-498a-93c3-e96ce9008861,誇り,友達が親身になって話しを聞いてくれて色々と教えてくれた。本当に良い友達を持ったんだと思った。,ひとりで病気について考えていたら不安だけが大きくなってしまって。,経験したことのない事だもの、不安になるのは当たり前の事よ。どんな考えが浮かんでくるの？,これからの治療に掛かる期間や費用、仕事はどうなるのか、きりがないよ。,いいのよ。ひとつひとつ話してみて。
008b8e60-288f-44da-a1ab-843d00f11fa7,悲しみ,病名が不明のまま入院しているなかで、それまで快方に向かっていた体調が悪化した,快方に向かっていたはずでしたが、また具合が悪くなってきました。,とても残念です。また元気になられるの祈っております。,私のために祈ってくれてありがとうございます。,当然のことです。本当にまた元気になられると信じております。
008c4a4c-82f3-4cf6-a963-a43cd26bde42,悲しみ,入院中に一緒の部屋だった人が私よりも先に退院した,病室で一緒だった田中さんが、元気になって先に退院しました。,そうなんですね。元気になられて何よりです。,お互いに雑談したり、励ましあっていたので悲しいし寂しいです。,退院したらお互いに元気な姿で会えますよ。治療頑張りましょう。
00958a82-3b0d-4369-bb58-f1887cedd5e0,迷惑,受診のために病院まで毎回車で長距離を移動しなければならなかった,通院するのに車で毎回長距離移動が煩わしかったよ,それは、大変な状況でしたね,もう二度とごめんだね,二度目は無いように気を付けて下さい！
00a3ecae-42bc-4ff2-8719-81774878eb56,誇り,辛い治療にも泣き言も言わず耐えた,辛く厳しい治療でしたが、ここで止めたら治らないと自分に言い聞かせ、なんとか耐え抜きました。,素晴らしい精神力だと思います。普通の人ならめげてしまうところです。,はい、自分を褒めてあげたいです。自分の強さを誇りに思います。,その気持ちがあれば、完治するのも遠くはないと思います。一緒に頑張りましょう。
00ae3c7e-73f3-40bc-8c71-883dad1da1e9,喜び,順調に回復していることを実感する　,主治医から治療が順調に進んでいると聞かされて、心の底から安堵しました。,そうですか、それは素晴らしい。この調子で頑張ってくださいね。,ありがとうございます。この調子でいくと、完全に良くなるのも時間の問題という気がしてきました。,私もそう思います。気を抜かずに主治医の指示に従ってくださいね。
00bed0e5-34c5-469f-ad8f-35d37815f481,娯楽,病院の売店で、なかなか見られないカップラーメンの自動販売機がおいてあった　,下の売店に珍しいカップラーメンがあったのよ。,買ってこようか？,でも入院中は食べられないからな。,退院した後の楽しみにとっておいたら？
00ce3c7c-9868-409b-b445-c9743bba2cae,興奮,治療薬がなかったが、新しい治療法が見つかり、余命が延びる事を医師から聞いた,諦めていたのに新しい治療法のおかげでまだ生きることが出来そうです。,本当ですか！言葉に表わせられないほどうれしいです。,ありがとうございます。これでまだやりたいことが出来ます。,元気な姿をまた見れるのが嬉しいです。
00da3cce-080a-47c4-9b7d-1522f65de35f,好奇心,学生時代にやっていたことを思い出し、退院したら、また挑戦しようと思った,治療はつらいですが、退院したらまた挑戦したいことがあります。,前向きでいいですね。その気持ちが治療に良い効果だと思います。,私もそう思います。退院後が楽しみです。,応援しています。
00e4a31d-d7eb-4d67-87bc-d16592882736,楽観,どんな病気でも完治する時が必ず来ると信じ、楽観して治療を継続している　,今回こんなに早く病気が見つかったのは運が良かった。私には運がついているから、きっと必ず病気が完治すると信じているんだ。,そうですね。本当にラッキーなことだと思いますよ。,手術終わったら、美味しいものを思う存分食べたいな。,いいですね。楽しみがあるって大事ですよね。
01085884-5f12-44a7-a347-edb0c71b4327,愛,入院したら家族が毎日見舞いと世話に来てくれた　,いつも見舞いに来てくれてありがとうございます。,いえいえ、ところで調子はどうですか。,良い感じです、痛みもありませんし、気分もスッキリしています。あなたが来てくれるからかもしれませんね。,そういってもらえるとうれしいです。こうして会話するだけでも、気分が晴れ晴れとして良い方向へ向かうかもしれませんからね。
